,name,institution,course_id
293,Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,data-lakes-data-warehouses-gcp
294,Drug Discovery,University of California San Diego,drug-discovery
295,Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),nutrition-pregnancy
296,Financial Acumen for Non-Financial Managers,University of Pennsylvania,finance-healthcare-managers
297,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,python-statistics-financial-analysis
298,Bugs 101: Insect-Human Interactions,University of Alberta,bugs-101
299,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,autodesk-revit-architectural-design
300,"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,leading-for-equity-diversity-inclusion
301,Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,marketing-plan
302,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,enterprise-architecture
303,Introduction to Spreadsheets and Models,University of Pennsylvania,wharton-introduction-spreadsheets-models
304,The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,human-needs
305,Essentials in Clinical Simulations Across the Health Professions,The George Washington University,clinicalsimulations
306,Budgeting and Scheduling Projects,"University of California, Irvine",schedule-projects
307,Machine Learning for Business Professionals,Google Cloud,machine-learning-business-professionals
308,Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,intro-accounting-data-analytics-visual
309,Spanish Vocabulary: Meeting People,"University of California, Davis",spanish-vocabulary-meeting-people
310,Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,gestionempresarialpyme
311,Public Policy Challenges of the 21st Century,University of Virginia,public-policy
312,International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,arbitration-international-disputes
313,Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania,introancientegypt
314,Financing and Investing in Infrastructure,Università Bocconi,infrastructure-investing
315,Global Environmental Management,Technical University of Denmark (DTU),global-environmental-management
316,Operations Analytics,University of Pennsylvania,wharton-operations-analytics
317,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,entrepreneurship-strategy
318,FinTech Law and Policy,Duke University,fintechlawandpolicy
319,The Social Context of Mental Health and Illness,University of Toronto,mental-health
320,What Is Contemporary Art?,The Museum of Modern Art,contemporary-art
321,The Art of Music Production,Berklee College of Music,producing-music
322,Biohacking Your Brain's Health,Emory University,biohacking-your-brains-health
