,name,institution,course_id
573,"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,epidemic-pandemic-outbreak
574,Roman Architecture,Yale University,roman-architecture
575,Research Data Management and Sharing,The University of Edinburgh,data-management
576,Introduction to Genomic Technologies,Johns Hopkins University,introduction-genomics
577,Strategic Management,Copenhagen Business School,strategic-management
578,Cybersecurity Compliance Framework & System Administration,IBM,cybersecurity-compliance-framework-system-administration
579,Legal Tech & Startups,IE Business School,legal-tech-startups
580,Introduction to Chemistry:  Reactions and Ratios,Duke University,intro-chemistry
581,The Science of Stem Cells,American Museum of Natural History,stem-cells
582,The Business of Product Management I,Advancing Women in Product,the-business-of-product-management-one
583,Positive Psychology: Resilience Skills,University of Pennsylvania,positive-psychology-resilience
584,AI for Medical Prognosis,DeepLearning.AI,ai-for-medical-prognosis
585,Antibiotic Stewardship,Stanford University,antibiotic-stewardship
586,UX / UI: Fundamentos para o design de interface,Universidade de São Paulo,ux-ui-design-de-interface
587,EMT Foundations,University of Colorado System,emt-foundations
588,Industrial IoT on Google Cloud Platform,Google Cloud,iiot-google-cloud-platform
589,"Penetration Testing, Incident Response and Forensics",IBM,ibm-penetration-testing-incident-response-forensics
590,Database Management Essentials,University of Colorado System,database-management
591,Advertising and Society,Duke University,role-of-advertising
592,Everyday Chinese Medicine,The Chinese University of Hong Kong,everyday-chinese-medicine
593,Fundamentals of Machine Learning for Healthcare,Stanford University,fundamental-machine-learning-healthcare
594,New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",countering-terror-violent-extremism
595,Magic in the Middle Ages,Universitat de Barcelona,magic-middle-ages
596,Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,challenging-forensic-science
597,Exploring Renewable Energy Schemes,University of Pennsylvania,exploring-renewable-energy
598,Paleontology: Theropod Dinosaurs and the Origin of Birds,University of Alberta,theropods-birds
599,Corporate Strategy,UCL School of Management,corporatestrategy
600,Getting Started with Essay Writing,"University of California, Irvine",getting-started-with-essay-writing
601,Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,actualizacion-manejo-diabetes-tipo-2
602,Mastering Final Cut Pro,LearnQuest,mastering-final-cut-pro
603,Removing Barriers to Change,University of Pennsylvania,removing-barriers-to-change
604,Tricky American English Pronunciation,"University of California, Irvine",tricky-american-english-pronunciation
605,Managing an Agile Team,University of Virginia,uva-darden-agile-team-management
606,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,international-law-in-action
607,"Competencias Laborales: Perfiles, Evaluación y Capacitación.",Universidad de Chile,competencias-lab
608,Getting started with TensorFlow 2,Imperial College London,getting-started-with-tensor-flow2
609,Geopolitics of Europe,Sciences Po,geopolitics-europe
610,Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,truthinourbones-osteoarchaeology-archaeology
611,Mathematics for Machine Learning: PCA,Imperial College London,pca-machine-learning
612,Object Oriented Programming in Java,University of California San Diego,object-oriented-java
613,Embedded Software and Hardware Architecture,University of Colorado Boulder,embedded-software-hardware
614,Memoir and Personal Essay: Managing Your Relationship with the Reader,Wesleyan University,memoir-reader-relationship
615,Математика и Python для анализа данных,Moscow Institute of Physics and Technology,mathematics-and-python
616,Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,aulaconstructivista
617,Hypothesis-Driven Development,University of Virginia,uva-darden-agile-testing
618,Accounting Data Analytics with Python,University of Illinois at Urbana-Champaign,accounting-data-analytics-python
619,Introduction to Molecular Spectroscopy,University of Manchester   ,spectroscopy
620,Managing as a Coach,"University of California, Davis",managing-as-a-coach
621,The fundamentals of hotel distribution,ESSEC Business School,hotel-distribution
622,A Crash Course in Data Science,Johns Hopkins University,data-science-course
